,1stFlrSF,2ndFlrSF,YearBuilt,SalePrice
0,856,854,2003,208500
1,1262,0,1976,181500
2,920,866,2001,223500
3,961,756,1915,140000
4,1145,1053,2000,250000
5,796,566,1993,143000
6,1694,0,2004,307000
7,1107,983,1973,200000
8,1022,752,1931,129900
9,1077,0,1939,118000
10,1040,0,1965,129500
11,1182,1142,2005,345000
12,912,0,1962,144000
13,1494,0,2006,279500
14,1253,0,1960,157000
15,854,0,1929,132000
16,1004,0,1970,149000
17,1296,0,1967,90000
18,1114,0,2004,159000
19,1339,0,1958,139000
20,1158,1218,2005,325300
21,1108,0,1930,139400
22,1795,0,2002,230000
23,1060,0,1976,129900
24,1060,0,1968,154000
25,1600,0,2007,256300
26,900,0,1951,134800
27,1704,0,2007,306000
28,1600,0,1957,207500
29,520,0,1927,68500
30,649,668,1920,40000
31,1228,0,1966,149350
32,1234,0,2007,179900
33,1700,0,1959,165500
34,1561,0,2005,277500
35,1132,1320,2004,309000
36,1097,0,1994,145000
37,1297,0,1954,153000
38,1057,0,1953,109000
39,1152,0,1955,82000
40,1324,0,1965,160000
41,1328,0,1959,170000
42,884,0,1983,144000
43,938,0,1975,130250
44,1150,0,1959,141000
45,1752,0,2005,319900
46,1518,631,2003,239686
47,1656,0,2006,249700
48,736,716,1920,113000
49,955,0,1966,127000
50,794,676,1997,177000
51,816,0,1934,114500
52,816,0,1963,110000
53,1842,0,1981,385000
54,1360,0,1955,130000
55,1425,0,1964,180500
56,983,756,1999,172500
57,860,860,2004,196500
58,1426,1519,2006,438780
59,780,0,1972,124900
60,1158,0,2004,158000
61,581,530,1920,101000
62,1370,0,2006,202500
63,902,808,1921,140000
64,1057,977,1997,219500
65,1143,1330,2004,317000
66,2207,0,1970,180000
67,1479,0,2003,226000
68,747,0,1945,80000
69,1304,983,1953,225000
70,2223,0,1973,244000
71,845,0,1982,129500
72,885,833,1998,185000
73,1086,0,1954,144900
74,840,765,1915,107400
75,526,462,1973,91000
76,952,0,1956,135750
77,1072,213,1948,127000
78,1768,0,1968,136500
79,682,548,1910,110000
80,1182,960,1968,193500
81,1337,0,1998,153500
82,1563,0,2007,245000
83,1065,0,1960,126500
84,804,670,1995,168500
85,1301,1116,1991,260000
86,684,876,2005,174000
87,612,612,2009,164500
88,1013,0,1915,85000
89,990,0,1994,123600
90,1040,0,1950,109900
91,1235,0,1961,98600
92,964,0,1921,163500
93,1260,1031,1910,133900
94,905,881,1997,204750
95,680,790,1993,185000
96,1588,0,1999,214000
97,960,0,1965,94750
98,835,0,1920,83000
99,1225,0,1959,128950
100,1610,0,1977,205000
101,977,755,1985,178000
102,1535,0,1979,118964
103,1226,0,2009,198900
104,1226,592,1931,169500
105,1053,939,2003,250000
106,1047,0,1885,100000
107,789,0,1948,115000
108,997,520,1919,115000
109,1844,0,1977,190000
110,1216,639,1954,136900
111,774,656,2000,180000
112,1282,1414,2007,383970
113,2259,0,1953,217000
114,1436,884,1945,259500
115,729,729,1999,176000
116,1092,0,1962,139000
117,1125,0,2006,155000
118,1699,1523,1990,320000
119,728,728,2005,163990
120,988,0,1969,180000
121,772,351,1939,100000
122,1080,0,1958,136000
123,1199,0,1993,153900
124,1586,0,1979,181000
125,520,0,1935,84500
126,958,0,1976,128000
127,840,0,1930,87000
128,660,688,1966,155000
129,1053,0,1958,150000
130,1216,941,1966,226000
131,1022,1032,2000,244000
132,1327,0,1959,150750
133,1296,0,2001,220000
134,1721,0,1968,180000
135,1682,0,1970,174000
136,1214,0,1967,143000
137,1959,0,1988,171000
138,1004,848,1999,230000
139,928,836,1997,231500
140,864,0,1971,115000
141,1734,0,2005,260000
142,910,475,1952,166000
143,1501,0,1999,204000
144,1728,0,1963,125000
145,970,739,2004,130000
146,875,0,1931,105000
147,884,1151,2001,222500
148,1080,0,2004,141000
149,896,448,1936,115000
150,969,0,1975,122000
151,1710,0,2007,372402
152,1097,896,1971,190000
153,1252,0,1960,235000
154,1200,0,1923,125000
155,572,524,1924,79000
156,1040,0,1950,109500
157,774,1194,2009,269500
158,991,956,2004,254900
159,1392,1070,2005,320000
160,1232,0,1984,162500
161,1572,1096,2003,412500
162,1541,0,2005,220000
163,882,0,1956,103200
164,1149,467,1926,152000
165,808,547,1940,127500
166,1867,0,1955,190000
167,1610,551,2007,325624
168,840,880,2004,183500
169,1707,0,1981,228000
170,854,0,1941,128500
171,1656,0,1960,215000
172,1064,703,1987,239000
173,1362,0,1961,163000
174,1651,0,1986,184000
175,2158,0,1950,243000
176,1164,896,1988,211000
177,1252,668,1958,172500
178,2234,0,2008,501837
179,968,0,1923,100000
180,769,756,2000,177000
181,901,901,1920,200100
182,1340,0,1957,120000
183,1362,720,2003,200000
184,936,316,1908,127000
185,1518,1518,1892,475000
186,1217,0,1990,173000
187,808,704,1916,135000
188,1224,0,1979,153337
189,1593,0,2001,286000
190,1549,1178,1932,315000
191,725,754,1972,184000
192,1431,0,1999,192000
193,970,739,2004,130000
194,864,0,1972,127000
195,855,601,1976,148500
196,1726,0,2007,311872
197,1360,1360,1918,235000
198,929,929,1912,104000
199,1713,0,2004,274900
200,1121,0,2003,140000
201,1279,0,1977,171500
202,865,445,1924,112000
203,848,0,2004,149000
204,720,564,1947,110000
205,1442,0,1990,180500
206,1696,0,1962,143900
207,1100,0,1960,141000
208,1180,882,1988,277000
209,1092,0,1964,145000
210,864,0,1925,98000
211,1212,0,2009,186000
212,932,920,2009,252678
213,990,0,1995,156000
214,689,703,1977,161750
215,1236,0,1957,134450
216,1436,0,2004,210000
217,810,518,1925,107000
218,1137,817,1939,311500
219,1248,0,2005,167240
220,1498,0,2006,204900
221,1010,1257,2002,200000
222,811,741,1975,179900
223,864,0,1971,97000
224,2392,0,2003,386250
225,630,672,1971,112000
226,1214,1306,1995,290000
227,483,504,1970,106000
228,912,0,1967,125000
229,1555,0,2005,192500
230,1194,0,1959,148000
231,1490,1304,1995,403000
232,483,504,1972,94500
233,894,0,1976,128200
234,860,1100,2002,216500
235,483,504,1971,89500
236,1414,0,2004,185500
237,1014,730,1993,194500
238,1694,0,2007,318000
239,798,689,1945,113000
240,1566,0,2008,262500
241,866,0,1945,110500
242,889,551,1900,79000
243,626,591,1980,120000
244,1222,888,1994,205000
245,1872,0,1988,241500
246,908,1020,1910,137000
247,1375,0,1954,140000
248,840,828,2003,180000
249,1444,700,1958,277000
250,1306,0,1940,76500
251,1625,0,2006,235000
252,798,842,2004,173000
253,1302,0,1964,158000
254,1314,0,1957,145000
255,1005,1286,1999,230000
256,864,864,2003,207500
257,1604,0,2006,220000
258,963,829,2001,231500
259,882,0,1956,97000
260,1382,0,1962,176000
261,1482,1092,2007,276000
262,1212,0,1977,151000
263,926,0,1929,130000
264,764,0,1925,73000
265,1422,0,1981,175500
266,802,709,1997,185000
267,1052,720,1939,179500
268,778,0,1940,120500
269,1113,0,1976,148000
270,1095,844,2006,266000
271,1363,0,1954,241500
272,1164,1106,1999,290000
273,1632,0,1958,139000
274,816,0,1982,124500
275,952,596,1925,205000
276,1560,0,2003,201000
277,864,0,1951,141000
278,2121,0,2006,415298
279,1156,866,1977,192000
280,1175,807,1989,228500
281,1262,0,2006,185000
282,1314,0,2007,207500
283,1468,0,2008,244600
284,1575,0,1992,179200
285,625,625,2006,164700
286,1085,649,1962,159000
287,858,0,1971,88000
288,900,0,1967,122000
289,698,698,1915,153575
290,1079,840,2006,233230
291,936,780,1912,135900
292,1148,568,1949,131000
293,1468,795,1977,235000
294,1644,0,1953,167000
295,1003,0,1984,142500
296,910,648,1950,152000
297,975,975,1997,239000
298,1041,702,1968,175000
299,1152,0,1950,158500
300,1336,0,1953,157000
301,1210,1242,1998,267000
302,1541,0,2001,205000
303,894,0,1972,149900
304,1675,1818,1880,295000
305,2000,0,2004,305900
306,1122,1121,1990,225000
307,1035,371,1920,89500
308,861,0,1940,82500
309,1944,0,2003,360000
310,697,804,1993,165600
311,972,0,1948,132000
312,793,325,1939,119900
313,2036,0,1965,375000
314,832,809,1925,178000
315,716,716,2004,188500
316,1153,1200,1980,260000
317,1088,871,2006,270000
318,1372,1274,1993,260000
319,1472,0,1980,187500
320,1249,1347,2006,342643
321,1136,1332,2004,354000
322,1553,1177,1986,301000
323,1163,0,1955,126175
324,1898,1080,1967,242000
325,803,0,1941,87000
326,1719,0,1993,324000
327,1383,0,1960,145250
328,1445,689,1916,214500
329,596,596,1920,78000
330,1728,0,1964,119000
331,1056,0,1958,139000
332,1629,0,2003,284000
333,1358,0,2004,207000
334,943,695,1998,192000
335,1619,167,1965,228950
336,1922,0,2005,377426
337,1536,0,2002,214000
338,1621,0,1984,202500
339,1215,0,1958,155000
340,993,915,2002,202900
341,841,0,1950,82000
342,1040,0,1949,87500
343,1684,0,2005,266000
344,536,576,1976,85000
345,972,605,1939,140200
346,958,0,1960,151500
347,1478,0,1960,157500
348,764,862,2003,154000
349,1848,880,2005,437154
350,1869,0,2007,318061
351,1453,0,1986,190000
352,616,495,1941,95000
353,720,0,1928,105900
354,1192,403,1940,140000
355,1200,0,1995,177500
356,1167,0,1992,173000
357,1142,0,1976,134000
358,1352,0,1958,130000
359,1086,838,1998,280000
360,912,0,1978,156000
361,988,517,1940,145000
362,495,1427,2003,198500
363,483,504,1972,118000
364,790,784,1976,190000
365,672,672,1920,147000
366,1394,0,1963,159000
367,1431,0,1962,165000
368,1268,0,1954,132000
369,1287,0,1959,162000
370,953,711,2000,172400
371,1120,468,1959,134432
372,752,0,1984,125000
373,1319,0,1953,123000
374,847,1081,2003,219500
375,904,0,1922,61000
376,914,0,1996,148000
377,1580,886,2004,340000
378,1856,0,2010,394432
379,1007,793,2000,179000
380,1026,665,1924,127000
381,1301,0,2006,187750
382,939,858,2006,213500
383,784,0,1928,76000
384,1079,874,1992,240000
385,1269,0,2004,192000
386,658,526,1910,81000
387,1125,0,1976,125000
388,1479,0,1999,191000
389,1742,590,2007,426000
390,961,406,1900,119000
391,804,1157,2001,215000
392,882,0,1959,106500
393,788,0,1941,100000
394,735,299,1940,109000
395,1144,0,1956,129000
396,894,0,1972,123000
397,876,936,1962,169500
398,1077,0,1920,67000
399,1112,438,2006,241000
400,1288,0,1996,245500
401,1310,0,2005,164990
402,672,0,1940,108000
403,1165,1098,1998,258000
404,806,766,1995,168000
405,1620,0,1976,150000
406,1166,0,1936,115000
407,840,840,1915,177000
408,1071,1101,2006,280000
409,1050,1028,2007,339750
410,1276,0,1958,60000
411,1056,0,1955,145000
412,1478,0,2009,222000
413,1028,0,1927,115000
414,1080,1017,1993,228000
415,1340,0,2007,181134
416,672,728,1978,149500
417,1370,1254,1918,239000
418,756,378,1940,126000
419,1056,0,1968,142000
420,1344,0,1997,206300
421,1602,0,1977,215000
422,988,0,1954,113000
423,1470,1160,1998,315000
424,1196,0,1956,139000
425,707,682,1946,135000
426,1644,0,1989,275000
427,907,0,1957,109008
428,1208,0,2007,195400
429,1412,0,1988,175000
430,483,504,1971,85400
431,1088,110,1920,79900
432,765,600,1971,122500
433,926,678,1997,181000
434,630,0,1972,81000
435,827,834,1996,212000
436,734,384,1920,116000
437,904,0,1926,119000
438,694,0,1913,90350
439,684,512,1920,110000
440,2402,0,2008,555000
441,1440,0,1955,118000
442,1128,445,1930,162900
443,1258,0,2006,172500
444,933,975,1994,210000
445,1689,0,1956,127500
446,1888,0,1966,190000
447,956,930,1998,199900
448,780,596,1937,119500
449,679,504,1948,120000
450,813,0,1930,110000
451,1533,0,1975,280000
452,888,868,1996,204000
453,786,804,2008,210000
454,1728,0,1976,188000
455,1242,0,1973,175500
456,624,720,1916,98000
457,1663,0,1954,256000
458,833,833,1925,161000
459,979,224,1950,110000
460,832,1103,2009,263435
461,575,560,1936,155000
462,864,0,1965,62383
463,849,811,1934,188700
464,1040,0,1978,124000
465,1414,0,2004,178740
466,1277,0,1970,167000
467,888,756,1942,146500
468,1634,0,2006,250000
469,832,878,1993,187000
470,1502,0,1985,212000
471,1161,808,1977,190000
472,1072,0,2005,148000
473,1976,0,2006,440000
474,1652,0,2000,251000
475,970,0,1963,132500
476,1493,0,1997,208900
477,2069,574,2006,380000
478,1718,0,2007,297000
479,1131,0,1937,89471
480,1850,0,2004,326000
481,1792,0,2003,374000
482,916,910,1915,155000
483,1216,0,1998,164000
484,999,0,1962,132500
485,1113,0,1950,147000
486,1073,0,1965,156000
487,1484,0,1971,175000
488,1766,648,1900,160000
489,630,0,1970,86000
490,616,688,1976,115000
491,958,620,1941,133000
492,728,728,2006,172785
493,1269,0,1960,155000
494,886,0,1938,91300
495,720,0,1920,34900
496,3228,0,1992,430000
497,1133,687,1925,184000
498,899,0,1967,130000
499,912,0,1958,120000
500,672,546,1973,113000
501,866,902,2005,226700
502,1214,0,1965,140000
503,1801,0,1959,289000
504,855,467,1974,147000
505,960,1000,1952,124500
506,1065,846,1993,215000
507,1218,0,2009,208300
508,689,689,1928,161000
509,1041,0,1959,124500
510,1363,0,1951,164900
511,1368,0,2005,202665
512,864,0,1958,129900
513,1080,0,1983,134000
514,789,0,1926,96500
515,2020,0,2009,402861
516,1378,741,1972,158000
517,1277,1067,1996,265000
518,882,914,1998,211000
519,1276,804,1926,234000
520,694,600,1900,106250
521,1244,0,1957,150000
522,1004,660,1947,159000
523,3138,1538,2007,184750
524,1383,1015,1996,315750
525,1266,0,2005,176000
526,928,0,1956,132000
527,1476,1237,2008,446261
528,605,0,1920,86000
529,2515,0,1957,200624
530,1509,0,1988,175000
531,751,611,1920,128000
532,827,0,1955,107500
533,334,0,1946,39300
534,707,707,2004,178000
535,820,527,1910,107500
536,880,844,1998,188000
537,864,0,1972,111250
538,1159,0,1968,158000
539,1601,0,2001,272000
540,1838,0,2006,315000
541,997,1288,2000,248000
542,1680,0,1998,213250
543,767,0,1998,133000
544,664,832,2006,179665
545,1377,806,1988,229000
546,915,720,1923,210000
547,768,0,1970,129500
548,825,0,1955,125000
549,912,1182,2003,263000
550,1069,0,1977,140000
551,928,0,1957,112500
552,1717,0,2006,255500
553,1126,0,1949,108000
554,1006,1040,2003,284000
555,1048,0,1922,113000
556,1092,0,1957,141000
557,897,439,1920,108000
558,729,717,1996,175000
559,1557,0,2003,234000
560,1392,0,1957,121500
561,1389,0,1974,170000
562,996,0,1940,108000
563,1163,511,1918,185000
564,1166,1129,1992,268000
565,841,806,1915,128000
566,1134,1370,2005,325000
567,1535,0,2004,214000
568,1496,636,1983,316600
569,943,0,1979,135960
570,1728,0,1965,142600
571,864,0,1959,120000
572,846,846,2009,224500
573,774,656,2000,170000
574,576,533,1971,139000
575,832,384,1947,118500
576,877,600,1928,145000
577,1320,0,1966,164500
578,703,689,2007,146000
579,1050,745,1954,131500
580,1429,0,1960,181900
581,2042,0,2008,253293
582,816,0,1990,118500
583,1521,1254,1893,325000
584,989,584,1935,133000
585,2028,0,2005,369900
586,838,0,1918,130000
587,860,0,1982,137000
588,1473,0,1968,143000
589,779,0,1930,79500
590,770,812,2004,185900
591,1728,568,2008,451950
592,816,0,1982,138000
593,848,0,2003,140000
594,924,0,1975,110000
595,1826,0,2005,319000
596,684,684,1910,114504
597,1402,0,2006,194201
598,1647,0,1977,217500
599,716,840,1980,151000
600,1058,846,2005,275000
601,780,595,1937,141000
602,927,988,1992,220000
603,600,600,2004,151000
604,1494,0,2002,221000
605,1186,800,1965,205000
606,1040,0,1996,152000
607,1112,896,1948,225000
608,1940,1254,1934,359100
609,1029,0,1961,118500
610,1476,677,2000,313000
611,1032,0,1978,148000
612,1299,573,2001,261500
613,1120,0,2007,147000
614,630,0,1972,75500
615,1054,0,1963,137500
616,807,702,2002,183200
617,832,0,1954,105500
618,1828,0,2007,314813
619,1482,780,2003,305000
620,864,0,1914,67000
621,1548,1066,1974,240000
622,980,0,1977,135000
623,756,756,2000,168500
624,1012,778,1972,165150
625,1116,0,1962,160000
626,1422,0,1960,139900
627,1520,0,1955,153000
628,1040,1040,1969,135000
629,1350,0,1964,168500
630,1089,661,1880,124000
631,1554,0,2006,209500
632,1411,0,1977,82500
633,1056,0,1954,139400
634,1056,0,1980,144000
635,1440,1440,1914,200000
636,800,0,1936,60000
637,811,576,1954,93000
638,796,0,1910,85000
639,1567,0,2006,264561
640,1518,0,2003,274000
641,1057,872,2001,226000
642,2000,704,1972,345000
643,780,840,1969,152000
644,1766,0,2009,370878
645,981,0,1971,143250
646,1048,0,1950,98300
647,1094,0,1953,155000
648,1051,788,1966,155000
649,630,0,1970,84500
650,822,843,2007,205950
651,755,755,1940,108000
652,909,807,1996,191000
653,756,713,1906,135000
654,2113,0,1995,350000
655,525,567,1971,88000
656,1053,0,1959,145500
657,851,651,1931,149000
658,912,546,1948,97500
659,1486,0,1964,167000
660,1142,793,1976,197900
661,1686,762,1994,402000
662,1392,0,1968,110000
663,1181,0,1972,137500
664,2097,0,2005,423000
665,1454,482,2000,230500
666,1465,915,1965,129000
667,1679,0,1994,193500
668,1437,0,1956,168000
669,1180,0,1922,137500
670,738,738,2005,173500
671,697,672,1925,103600
672,1208,0,1977,165000
673,1839,0,1957,257500
674,1136,0,1965,140000
675,855,586,1978,148500
676,1095,679,1900,87000
677,792,0,1924,109500
678,2046,0,2008,372500
679,988,0,1961,128500
680,923,0,1980,143000
681,848,672,1932,159434
682,1291,0,1996,173000
683,1668,0,2002,285000
684,1195,644,1998,221000
685,1190,900,1984,207500
686,874,887,2007,227875
687,551,551,2004,148800
688,1419,0,2007,392000
689,1362,0,2005,194700
690,848,0,2004,141000
691,2444,1872,1994,755000
692,1238,1281,1989,335000
693,1073,0,1921,108480
694,1067,472,1936,141500
695,1137,0,1987,176000
696,616,0,1921,89000
697,1148,0,1952,123500
698,894,0,1965,138500
699,1391,0,2004,196000
700,1800,0,2002,312500
701,1164,0,1969,140000
702,1264,1312,2006,361919
703,1032,780,1900,140000
704,1484,0,2004,213000
705,372,720,1930,55000
706,1824,0,1971,302000
707,1324,0,2006,254000
708,728,728,2007,179540
709,904,0,1966,109900
710,729,0,1935,52000
711,859,319,1900,102776
712,1228,0,1988,189000
713,960,0,1970,129000
714,725,754,1976,130500
715,1350,0,1974,165000
716,1576,978,1890,159500
717,1178,0,1973,157000
718,1325,1093,1993,341000
719,971,0,1969,128500
720,1742,0,1985,275000
721,848,0,2004,143000
722,864,0,1970,124500
723,997,473,1954,135000
724,1698,0,2007,320000
725,864,0,1970,120500
726,1680,0,1988,222000
727,1232,0,2007,194500
728,1776,0,1958,110000
729,848,0,1925,103000
730,1616,0,1995,236500
731,1146,0,2003,187500
732,1153,878,1998,222500
733,1144,0,1961,131400
734,948,0,1968,108000
735,880,888,1914,163000
736,1040,0,1950,93500
737,901,900,2005,239900
738,1200,0,1987,179000
739,864,864,2004,190000
740,768,664,1910,132000
