,1stFlrSF,2ndFlrSF,YearBuilt,SalePrice
741,912,0,1961,142000
742,1349,0,2000,179000
743,1464,0,1963,175000
744,1337,0,1993,180000
745,1175,1540,1976,299800
746,980,1276,2000,236000
747,1320,1320,1880,265979
748,1720,0,1996,260400
749,1088,441,1945,98000
750,792,348,1910,96500
751,660,660,2003,162000
752,1494,0,1997,217000
753,1038,1060,2005,275500
754,1026,0,1969,156000
755,742,729,1999,172500
756,866,902,2007,212000
757,672,714,1978,158900
758,757,744,1999,179400
759,1328,1203,1995,290000
760,864,0,1959,127500
761,1301,0,1924,100000
762,764,783,2009,215200
763,1268,1097,1999,337000
764,1494,0,1995,270000
765,1506,0,2008,264132
766,980,734,1988,196500
767,983,767,1940,160000
768,1836,0,2004,216837
769,1690,1589,2003,538000
770,858,0,1982,134900
771,1220,0,1951,102000
772,1117,0,1976,107000
773,912,0,1958,114500
774,1973,0,2006,395000
775,1204,0,1998,162000
776,1614,0,2005,221500
777,894,0,1974,142500
778,2020,0,1977,144000
779,1004,0,1977,135000
780,1253,0,1995,176000
781,810,793,1992,175900
782,1430,0,2001,187100
783,1110,0,1978,165500
784,742,742,1914,128000
785,1342,0,1967,161500
786,966,686,1915,139000
787,956,1128,2004,233000
788,901,0,1954,107900
789,976,1111,1966,187500
790,1145,0,2005,160200
791,1062,0,1976,146800
792,1127,886,1996,269790
793,1496,0,2007,225000
794,1086,809,1994,194500
795,888,676,1980,171000
796,1285,0,1977,143500
797,773,0,1953,110000
798,1966,1174,2008,485000
799,981,787,1937,175000
800,616,1072,1997,200000
801,1196,0,1916,109900
802,728,728,2005,189000
803,1734,1088,2008,582933
804,1128,0,1954,118000
805,1428,0,2008,227680
806,980,0,1967,135500
807,1072,504,1923,223500
808,1086,0,1966,159950
809,1075,1063,1898,106000
810,1309,0,1974,181000
811,848,0,2004,144500
812,1044,0,1952,55993
813,1442,0,1958,157900
814,686,564,1918,116000
815,1661,0,1998,224900
816,1008,0,1954,137000
817,1689,0,2002,271000
818,1052,0,1971,155000
819,1358,0,2009,224000
820,798,842,2003,183000
821,936,0,1953,93000
822,847,886,2003,225000
823,944,545,1940,139500
824,1489,0,2006,232600
825,2084,0,2007,385000
826,784,0,1924,109500
827,1434,0,2001,189000
828,1160,966,1967,185000
829,520,623,2005,147400
830,1392,0,1957,166000
831,520,600,2005,151000
832,941,888,2003,237000
833,1516,0,1964,167000
834,1144,0,1961,139950
835,1067,0,1950,128000
836,1559,0,1948,153500
837,483,504,1973,100000
838,1099,0,1995,144000
839,768,432,1946,130500
840,810,672,1925,140000
841,958,581,1904,157500
842,1165,0,1966,174900
843,1800,0,1961,141000
844,876,540,1915,153900
845,1701,0,1975,171000
846,1006,769,1993,213000
847,864,0,1972,133500
848,1307,1051,1908,240000
849,1094,761,1976,187000
850,848,0,2003,131500
851,1456,0,2003,215000
852,918,728,1941,164000
853,1445,0,1964,158000
854,1779,0,1955,170000
855,1040,0,1962,127000
856,1026,0,1978,147000
857,702,779,1994,174000
858,1370,0,1976,152000
859,1512,1142,1968,250000
860,912,514,1918,189950
861,1039,0,1965,131500
862,1097,0,1984,152000
863,1148,0,1959,132500
864,1372,0,2007,250580
865,1002,0,1970,148500
866,1646,0,2006,248900
867,1120,0,1961,129000
868,1547,720,1948,169000
869,1062,887,1993,236000
870,894,0,1962,109500
871,804,878,1998,200500
872,910,0,1953,116000
873,1036,0,1949,133000
874,676,455,1941,66500
875,1184,1426,2007,303477
876,1040,0,1963,132250
877,1462,762,2004,350000
878,1155,0,1961,148000
879,864,0,1978,136500
880,1090,0,2005,157000
881,1187,530,1990,187500
882,808,785,1992,178000
883,954,795,1912,118500
884,892,0,1967,100000
885,1709,0,1999,328900
886,1712,0,1959,145000
887,872,521,1955,135500
888,2217,0,1970,268000
889,1505,0,1953,149500
890,672,252,1949,122900
891,918,765,1978,172500
892,1068,0,1963,154500
893,1383,0,1954,165000
894,1535,0,1979,118858
895,983,813,1963,140000
896,951,0,1936,106500
897,1120,1120,1979,142953
898,2364,0,2009,611657
899,1236,0,1961,135000
900,858,0,1971,110000
901,1306,0,1957,153000
902,807,702,2003,180000
903,1670,0,2006,240000
904,902,0,1967,125500
905,1063,0,1954,128000
906,1636,0,2006,255000
907,1020,1037,1936,250000
908,902,0,1983,131000
909,742,742,2005,174000
910,1105,1169,1960,154300
911,1268,0,1977,143500
912,1015,0,1925,88000
913,1001,1001,1949,145000
914,612,612,2009,173733
915,546,546,1970,75000
916,480,0,1949,35311
917,1229,0,1956,135000
918,912,1215,1991,238000
919,1414,0,1958,176500
920,936,785,1994,201000
921,1272,928,1900,145900
922,1316,0,2005,169990
923,1617,0,1993,193000
924,1686,0,1980,207500
925,1126,0,1977,175000
926,1234,1140,2003,285000
927,1098,880,1968,176000
928,1788,0,2001,236500
929,993,1243,1997,222000
930,1466,0,2007,201000
931,925,0,1965,117500
932,1905,0,2006,320000
933,1500,0,2004,190000
934,2069,0,1960,242000
935,747,0,1926,79900
936,1200,0,2003,184900
937,1113,858,2005,253000
938,1391,571,2006,239799
939,1207,1196,1940,244400
940,1728,0,1976,150900
941,1022,1038,1999,214000
942,1440,0,1977,150000
943,1632,0,1967,143000
944,1344,0,1958,137500
945,1188,561,1890,124900
946,1144,0,1959,143000
947,1629,0,2002,270000
948,936,840,2002,192500
949,1381,0,1972,197500
950,864,0,1950,129000
951,965,0,1965,119900
952,768,0,1972,133900
953,1168,800,1969,172000
954,980,0,1975,127500
955,979,979,1946,145000
956,561,668,1980,124000
957,1057,0,1962,132000
958,1337,0,2003,185000
959,696,720,1999,155000
960,858,0,1958,116500
961,1542,1330,1977,272000
962,804,744,1976,155000
963,1800,0,2007,239000
964,824,1070,2002,214900
965,783,701,2005,178900
966,976,332,1940,160000
967,1098,0,1955,135000
968,600,368,1910,37900
969,1095,0,1958,140000
970,720,472,1949,135000
971,764,862,2003,173000
972,918,0,1979,99500
973,1428,0,2007,182000
974,1136,883,1910,167500
975,673,709,2000,165000
976,869,0,1923,85500
977,1241,0,2006,199900
978,894,0,1954,110000
979,1121,0,1963,139000
980,999,0,1961,178400
981,1276,1336,1998,336000
982,1266,0,2007,159895
983,1149,1141,2002,255900
984,1302,432,1977,126000
985,1164,0,1950,125000
986,1001,634,1910,117000
987,1940,0,2009,395192
988,1118,912,1976,195000
989,778,798,2006,197000
990,1407,985,1997,348000
991,916,826,1882,168000
992,1020,831,1964,187000
993,750,750,2005,173900
994,1718,0,2006,337500
995,774,456,1946,121600
996,1050,0,1961,136500
997,1442,0,1970,185000
998,1077,0,1922,91000
999,1208,0,2006,206000
1000,944,0,1952,82000
1001,691,0,1920,86000
1002,1574,0,2006,232000
1003,1680,0,1976,136905
1004,1504,0,2005,181000
1005,985,0,1977,149900
1006,1657,0,1970,163500
1007,546,546,1970,88000
1008,1710,0,2004,240000
1009,1008,0,1926,102000
1010,720,551,1948,135000
1011,1664,0,1965,100000
1012,900,602,1923,165000
1013,1022,0,1910,85000
1014,1082,0,1948,119200
1015,810,855,2001,227000
1016,1504,0,1996,203000
1017,1360,0,1984,187500
1018,802,670,1991,160000
1019,1506,0,2005,213490
1020,1132,0,2005,176000
1021,1220,0,2006,194000
1022,912,336,1930,87000
1023,1504,0,2005,191000
1024,2898,0,1976,287000
1025,882,0,1972,112500
1026,1264,0,1960,167500
1027,1646,0,2007,293077
1028,968,408,1941,105000
1029,672,546,1972,118000
1030,948,980,1916,160000
1031,1687,998,1920,197000
1032,1352,1168,1993,310000
1033,1654,0,2002,230000
1034,954,0,1938,119750
1035,845,0,1957,84000
1036,1620,0,2007,315500
1037,1055,1208,2001,287000
1038,798,546,1970,97000
1039,630,0,1970,80000
1040,1803,0,1957,155000
1041,800,832,1966,173000
1042,1306,0,2005,196000
1043,1532,797,1990,262280
1044,2524,0,1981,278000
1045,1733,0,1955,139600
1046,1992,876,2005,556581
1047,990,0,1994,145000
1048,1771,0,1960,115000
1049,930,0,1946,84900
1050,1302,0,2007,176485
1051,1316,0,2007,200141
1052,1127,850,1964,165000
1053,1526,0,1957,144500
1054,1091,898,2002,255000
1055,1523,0,1976,180000
1056,1364,0,2005,185850
1057,979,871,1994,248000
1058,1130,1054,2008,335000
1059,1096,895,1932,220000
1060,1338,0,2001,213500
1061,894,0,1935,81000
1062,1422,915,1900,90000
1063,1103,0,1925,110500
1064,1154,0,1966,154000
1065,1306,954,1996,328000
1066,799,772,1993,178000
1067,798,813,1964,167900
1068,1291,1230,1973,151400
1069,893,0,1949,135000
1070,1048,0,1956,135000
1071,829,727,1968,154000
1072,1002,454,1948,91500
1073,698,728,1977,159500
1074,1240,0,2006,194000
1075,960,780,1940,219500
1076,1096,370,1936,170000
1077,1096,0,1969,138800
1078,848,0,2004,155900
1079,990,0,1994,126000
1080,1258,0,1971,145000
1081,1040,0,1963,133000
1082,1459,0,2002,192000
1083,1251,0,1964,160000
1084,691,807,1995,187500
1085,996,0,1992,147000
1086,546,546,1973,83500
1087,1082,871,2005,252000
1088,970,739,2004,137500
1089,1247,0,2005,197000
1090,1040,0,1950,92900
1091,624,628,1999,160000
1092,1390,304,1925,136500
1093,1200,0,1965,146000
1094,936,0,1956,129000
1095,1314,0,2006,176432
1096,773,582,1914,127000
1097,1088,0,1986,170000
1098,757,567,1936,128000
1099,1601,0,1978,157000
1100,438,0,1920,60000
1101,950,0,1971,119500
1102,1134,0,1960,135000
1103,1194,0,1959,159500
1104,630,672,1970,106000
1105,1500,1122,1994,325000
1106,1442,0,1990,179900
1107,887,1134,2006,274725
1108,948,742,2000,181000
1109,1836,0,2004,280000
1110,773,885,1995,188000
1111,1098,866,1976,205000
1112,816,0,1957,129900
1113,1008,0,1953,134500
1114,833,0,1954,117000
1115,1734,0,2007,318000
1116,779,640,2002,184100
1117,894,0,1967,130000
1118,1021,580,1958,140000
1119,1040,0,1959,133700
1120,1012,0,1920,118400
1121,1552,0,2005,212900
1122,960,0,1956,112000
1123,698,0,1947,118000
1124,812,670,1992,163900
1125,1005,0,1955,115000
1126,1555,0,2007,174000
1127,1530,0,2004,259000
1128,847,1112,2004,215000
1129,936,0,1980,140000
1130,1328,653,1928,135000
1131,974,0,1991,93500
1132,1178,1032,1880,117500
1133,1142,878,1995,239500
1134,916,684,1997,169000
1135,986,0,1926,102000
1136,1032,220,1950,119000
1137,780,240,1875,94000
1138,1567,0,1977,196000
1139,1167,0,1920,144000
1140,952,0,1951,139000
1141,1088,780,1976,197500
1142,1466,1362,2006,424870
1143,1006,0,1959,80000
1144,672,252,1941,80000
1145,1042,534,1928,149000
1146,1298,0,1985,180000
1147,860,704,1941,174500
1148,572,539,1926,116900
1149,832,650,1920,143000
1150,932,0,1950,124000
1151,1466,0,1959,149900
1152,1811,0,1956,230000
1153,816,0,1930,120500
1154,902,918,1965,201800
1155,1437,0,1976,218000
1156,1265,0,1965,179900
1157,1314,0,2007,230000
1158,1580,0,2007,235128
1159,943,933,1974,185000
1160,855,601,1978,146000
1161,1640,0,1954,224000
1162,894,0,1968,129000
1163,1258,0,1969,108959
1164,1432,0,1978,194000
1165,1502,0,2009,233170
1166,1694,0,2008,245350
1167,959,712,2000,173000
1168,1236,872,1935,235000
1169,1831,1796,1995,625000
1170,1118,0,1977,171000
1171,1261,0,1958,163000
1172,625,625,2006,171900
1173,1636,971,1946,200500
1174,1170,1175,1932,239000
1175,2129,743,1992,285000
1176,923,0,1984,119500
1177,818,406,1926,115000
1178,820,523,1921,154900
1179,1124,0,1954,93000
1180,1298,1216,1990,250000
1181,1652,0,2008,392500
1182,2411,2065,1996,745000
1183,1130,0,1920,120000
1184,1572,0,1963,186700
1185,949,272,1924,104900
1186,1014,685,1900,95000
1187,1624,0,1994,262000
1188,831,829,2002,195000
1189,1028,776,1999,189000
1190,1622,0,1961,168000
1191,764,677,1999,174000
1192,842,630,1925,125000
1193,1224,0,1999,165000
1194,663,689,1969,158000
1195,728,728,2005,176000
1196,879,984,2006,219210
1197,815,875,1916,144000
1198,1212,0,2001,178000
1199,1382,0,1963,148000
1200,864,0,1970,116050
1201,866,913,1998,197900
1202,884,464,1925,117000
1203,1630,0,2000,213000
1204,1074,0,1975,153500
1205,2196,0,1990,271900
1206,1056,0,1966,107000
1207,1700,0,2003,200000
1208,1283,0,1962,140000
1209,1660,0,2006,290000
1210,1055,790,1992,189000
1211,1080,672,1988,164000
1212,672,0,1941,113000
1213,960,0,1965,145000
1214,999,0,1962,134500
1215,894,0,1966,125000
1216,1318,584,1978,112000
1217,1314,0,2009,229456
1218,672,240,1947,80500
1219,672,546,1971,91500
1220,912,0,1964,115000
1221,1211,0,1968,134000
1222,1168,678,1949,143000
1223,2136,0,1951,137900
1224,788,702,2004,184000
1225,1138,0,1958,145000
1226,894,1039,2007,214000
1227,912,0,1965,147000
1228,1702,0,2008,367294
1229,1507,0,1960,127000
1230,1361,1259,1977,190000
1231,1190,0,1962,132500
1232,1224,0,1962,101800
1233,1188,0,1959,142000
1234,1024,940,1911,130000
1235,892,892,1914,138887
1236,764,862,2003,175500
1237,847,1101,2004,195000
1238,1141,0,2005,142500
1239,1484,0,2006,265900
1240,884,884,2003,224900
1241,1689,0,2007,248328
1242,1173,0,1974,170000
1243,2076,0,2006,465000
1244,792,725,1929,230000
1245,1140,728,1984,178000
1246,756,797,2005,186500
1247,1034,0,1976,169900
1248,1134,924,1917,129500
1249,988,0,1950,119000
1250,2110,0,1968,244000
1251,1405,0,2003,171750
1252,874,0,1968,130000
1253,1516,651,1974,294000
1254,760,896,2003,165400
1255,959,408,1931,127500
1256,1987,0,1994,301500
1257,864,0,1922,99900
1258,1166,0,2005,190000
1259,1054,0,1969,151000
1260,892,783,1999,181000
1261,1050,0,1956,128900
1262,1104,684,1957,161500
1263,1060,764,1919,180500
1264,1337,0,1998,181000
1265,713,739,1999,183900
1266,964,925,1910,122000
1267,2018,0,2008,378500
1268,1968,1479,1935,381000
1269,874,650,1958,144000
1270,1332,192,1979,260000
1271,1489,0,1968,185750
1272,935,0,1965,137000
1273,1357,0,1959,177000
1274,661,589,1910,139000
1275,928,992,1948,137000
1276,735,660,1972,162000
1277,1724,0,1967,197900
1278,1128,903,2002,237000
1279,698,430,1920,68400
1280,1573,0,2002,227000
1281,1339,0,1990,180000
1282,1040,0,1977,150500
1283,912,912,1971,139000
1284,1699,748,1919,169000
1285,825,587,1939,132500
1286,1328,0,1963,143000
1287,1582,0,1964,190000
1288,1659,0,2000,278000
1289,1120,850,2006,281000
1290,1152,0,1964,180500
1291,630,672,1972,119500
1292,1378,994,1892,107500
1293,832,832,1976,162900
1294,864,0,1955,115000
1295,1052,0,1968,138500
1296,1128,0,1963,155000
1297,1072,0,2005,140000
1298,4692,950,2008,160000
1299,1246,0,1959,154000
1300,1005,978,1999,225000
1301,753,741,1942,177500
1302,1203,1323,1994,290000
1303,1616,0,2005,232000
1304,976,732,2004,130000
1305,1652,0,2006,325000
1306,1368,0,2005,202500
1307,990,0,1994,138000
1308,1122,0,1948,147000
1309,1294,0,1991,179200
1310,1902,0,1959,335000
1311,1274,0,2005,203000
1312,1453,1357,1990,302000
1313,1422,1177,1999,333168
1314,948,0,1954,119000
1315,1092,1020,1969,206900
1316,1630,0,2008,295493
1317,1352,0,2006,208900
1318,1787,0,2001,275000
1319,948,0,1954,111000
1320,1478,0,1957,156500
1321,720,0,1949,72500
1322,1061,862,1992,190000
1323,708,0,1940,82500
1324,1795,0,2006,147000
1325,796,0,1922,55000
1326,774,0,1931,79000
1327,816,0,1982,130500
1328,1584,1208,1920,256000
1329,955,677,1998,176500
1330,1588,0,2006,227000
1331,954,0,1976,132500
1332,816,0,1938,100000
1333,803,557,1938,125500
1334,765,600,1970,125000
1335,1334,0,1977,167900
1336,1656,0,1973,135000
1337,693,0,1941,52500
1338,920,941,2002,200000
1339,864,0,1972,128500
1340,872,0,1971,123000
1341,1114,0,2003,155000
1342,1284,885,2002,228500
1343,1172,741,1928,177000
1344,728,728,2006,155835
1345,960,0,1920,108500
1346,2156,0,1968,262500
1347,1776,0,2006,283463
1348,1494,0,1998,215000
1349,938,1215,1872,122000
1350,1338,1296,1969,200000
1351,858,858,1962,171000
1352,786,390,1937,134900
1353,2053,1185,1995,410000
1354,992,873,2000,235000
1355,1222,698,1968,170000
1356,892,0,1966,110000
1357,1078,0,1971,149900
1358,769,804,2000,177500
1359,1980,0,2004,315000
1360,990,1611,1921,189000
1361,1530,0,2005,260000
1362,1281,457,1920,104900
1363,616,796,2006,156932
1364,520,600,2005,144152
1365,814,860,2000,216000
1366,882,908,1999,193000
1367,925,550,1977,127000
1368,848,0,2003,144000
1369,1668,0,2003,232000
1370,840,534,1920,105000
1371,1661,0,1955,165500
1372,1108,989,1998,274300
1373,2633,0,2001,466500
1374,1026,932,2005,250000
1375,1571,0,2007,239000
1376,790,0,1930,91000
1377,984,620,1941,117000
1378,483,504,1973,83000
1379,754,640,2006,167500
1380,864,0,1914,58500
1381,2117,0,1970,237500
1382,998,764,1920,157000
1383,1416,0,1918,112000
1384,698,560,1939,105000
1385,796,358,1922,125500
1386,1392,1392,1978,250000
1387,1664,862,1916,136000
1388,1746,0,2006,377500
1389,869,349,1941,131000
1390,1525,0,2000,235000
1391,1584,0,1967,124000
1392,900,0,1967,123000
1393,1221,691,1905,163000
1394,1500,0,2006,246578
1395,1133,1349,2005,281213
1396,1687,0,1948,160000
1397,939,574,1920,137500
1398,1136,768,1950,138000
1399,1160,448,1925,137450
1400,950,208,1929,120000
1401,864,729,2004,193000
1402,1294,0,2006,193879
1403,1464,0,2007,282922
1404,694,520,1915,105000
1405,1646,0,2004,275000
1406,768,0,1972,133000
1407,833,0,1985,112000
1408,741,622,1910,125500
1409,1236,857,1986,215000
1410,944,896,2001,230000
1411,1112,556,1950,140000
1412,1040,0,1949,90000
1413,1844,0,2005,257000
1414,1053,795,1923,207000
1415,1569,0,2007,175900
1416,1246,1044,1885,122500
1417,1310,1140,1998,340000
1418,1144,0,1963,124000
1419,1844,0,1969,223000
1420,708,708,1968,179900
1421,1069,0,1977,127500
1422,848,0,2003,136500
1423,1575,626,1966,274970
1424,1344,0,1958,144000
1425,1252,0,1959,142000
1426,1223,904,1994,271000
1427,1048,510,1945,140000
1428,804,0,1940,119000
1429,1440,0,1981,182900
1430,734,1104,2005,192140
1431,958,0,1976,143750
1432,968,0,1927,64500
1433,962,830,2000,186500
1434,1126,0,1977,160000
1435,1537,0,1962,174000
1436,864,0,1971,120500
1437,1932,0,2008,394617
1438,1236,0,1957,149700
1439,1040,685,1979,197000
1440,1423,748,1922,191000
1441,848,0,2004,149300
1442,1026,981,2008,310000
1443,952,0,1916,121000
1444,1422,0,2004,179600
1445,913,0,1966,129000
1446,1188,0,1962,157900
1447,1220,870,1995,240000
1448,796,550,1910,112000
1449,630,0,1970,92000
1450,896,896,1974,136000
1451,1578,0,2008,287090
1452,1072,0,2005,145000
1453,1140,0,2006,84500
1454,1221,0,2004,185000
1455,953,694,1999,175000
1456,2073,0,1978,210000
1457,1188,1152,1941,266500
1458,1078,0,1950,142125
1459,1256,0,1965,147500
